frame,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility
0,0.453125,0.4166666666666667,0.0,0.99,0.453125,0.5833333333333334,0.0,0.99,0.552897204758447,0.6837370265601248,0.0,0.99,0.546875,0.4166666666666667,0.0,0.99,0.546875,0.5833333333333334,0.0,0.99,0.5593541770808536,0.749167360879671,0.0,0.99
1,0.453125,0.4166666666666667,0.0,0.99,0.4609166339455134,0.5830092338944431,0.0,0.99,0.5703001069305437,0.6636759648887224,0.0,0.99,0.546875,0.4166666666666667,0.0,0.99,0.5447959789566834,0.5833102793202118,0.0,0.99,0.5513155583369092,0.7497500987262659,0.0,0.99
2,0.453125,0.4166666666666667,0.0,0.99,0.4683398025841024,0.5820941118292677,0.0,0.99,0.5840185722160096,0.6452471500276441,0.0,0.99,0.546875,0.4166666666666667,0.0,0.99,0.5428083512736808,0.5832451092796115,0.0,0.99,0.5436146671934395,0.7499083084682748,0.0,0.99
3,0.453125,0.4166666666666667,0.0,0.99,0.4750528948429106,0.5807488543532486,0.0,0.99,0.5944014963548714,0.6302963411986163,0.0,0.99,0.546875,0.4166666666666667,0.0,0.99,0.5409993133689145,0.583149105148532,0.0,0.99,0.5366013952115043,0.7497125842235253,0.0,0.99
4,0.453125,0.4166666666666667,0.0,0.99,0.48076264707786204,0.5792084792100491,0.0,0.99,0.6019175648749735,0.6202284936978335,0.0,0.99,0.546875,0.4166666666666667,0.0,0.99,0.5394479287029029,0.5830388791539305,0.0,0.99,0.5305899454444429,0.749286545176473,0.0,0.99
5,0.453125,0.4166666666666667,0.0,0.99,0.48523682926615674,0.5777399028526738,0.0,0.99,0.6069041612008288,0.6159686957222338,0.0,0.99,0.546875,0.4166666666666667,0.0,0.99,0.5382216725028071,0.5829334933077355,0.0,0.99,0.5258437607635795,0.7487810125722073,0.0,0.99
6,0.453125,0.4166666666666667,0.0,0.99,0.4883077008274707,0.5765954150377096,0.0,0.99,0.6093946331791459,0.6179707660178567,0.0,0.99,0.546875,0.4166666666666667,0.0,0.99,0.5373736080609928,0.582851161470732,0.0,0.99,0.5225655891430642,0.7483442164480802,0.0,0.99
7,0.453125,0.4166666666666667,0.0,0.99,0.48986872228925515,0.5759701443288116,0.0,0.99,0.6090562632060033,0.6262021410412834,0.0,0.99,0.546875,0.4166666666666667,0.0,0.99,0.5369402700518318,0.5828061055103719,0.0,0.99,0.5208921815895878,0.7480935123397181,0.0,0.99
8,0.453125,0.4166666666666667,0.0,0.99,0.48986872228925515,0.5759701443288116,0.0,0.99,0.6052506257665439,0.6400813858455188,0.0,0.99,0.546875,0.4166666666666667,0.0,0.99,0.5369402700518318,0.5828061055103719,0.0,0.99,0.5208921815895878,0.7480935123397181,0.0,0.99
9,0.453125,0.4166666666666667,0.0,0.99,0.4883077008274707,0.5765954150377096,0.0,0.99,0.5972119876781161,0.6584066482305757,0.0,0.99,0.546875,0.4166666666666667,0.0,0.99,0.5373736080609928,0.582851161470732,0.0,0.99,0.5225655891430642,0.7483442164480802,0.0,0.99
